timestamp,device_os,dma,conversion
1706846077,ios,"New York, New York",0
1706846136,ios,"New York, New York",0
1706846258,ios,"Atlanta, Georgia",0
1706846643,android,"Atlanta, Georgia",0
1706846833,ios,"Los Angeles, California",0
1706846916,ios,"Houston, Texas",0
1706847399,ios,"New York, New York",0
1706847619,ios,"New York, New York",0
1706847681,ios,"Boston (Manchester), Massachusetts",0
1706847758,ios,"Houston, Texas",0
1706847908,ios,"Chicago, Illinois",0
1706848178,ios,"Chicago, Illinois",0
1706848311,android,"Houston, Texas",0
1706848616,ios,"New York, New York",0
1706848626,ios,"Los Angeles, California",0
1706848827,ios,"New York, New York",0
1706849070,android,"Dallas-Fort Worth, Texas",0
1706849172,ios,"Dallas-Fort Worth, Texas",0
1706849370,ios,"New York, New York",0
1706849682,android,"Boston (Manchester), Massachusetts",0
1706849763,ios,"New York, New York",0
1706850350,ios,"New York, New York",0
1706850387,ios,"New York, New York",0
1706850406,android,"Los Angeles, California",0
1706850532,ios,"Houston, Texas",0
1706850536,ios,"Los Angeles, California",0
1706850674,android,"Boston (Manchester), Massachusetts",0
1706850707,ios,"New York, New York",0
1706850737,ios,"New York, New York",0
1706851007,android,"New York, New York",0
1706851160,ios,"Washington, D.C. (Hagerstown)",0
1706851992,ios,"Los Angeles, California",0
1706852180,ios,"Los Angeles, California",0
1706852278,ios,"San Francisco-Oakland-San Jose, California",0
1706852872,ios,"Chicago, Illinois",0
1706852927,ios,"New York, New York",0
1706852965,ios,"Los Angeles, California",0
1706852980,ios,"Los Angeles, California",0
1706853263,ios,"Chicago, Illinois",0
1706853472,ios,"Houston, Texas",0
1706853517,ios,"Chicago, Illinois",0
1706853669,android,"Atlanta, Georgia",0
1706853718,ios,"Dallas-Fort Worth, Texas",0
1706853975,ios,"New York, New York",0
1706854107,ios,"New York, New York",0
1706854246,ios,"New York, New York",0
1706854296,ios,"Philadelphia, Pennsylvania",0
1706854381,android,"New York, New York",0
1706854508,android,"Philadelphia, Pennsylvania",0
1706854773,android,"New York, New York",0
1706855014,android,"Philadelphia, Pennsylvania",0
1706855350,android,"Los Angeles, California",0
1706855402,ios,"Chicago, Illinois",0
1706855687,ios,"New York, New York",0
1706855688,ios,"New York, New York",0
1706855737,ios,"Houston, Texas",0
1706856162,ios,"Houston, Texas",0
1706856166,ios,"San Francisco-Oakland-San Jose, California",0
1706856438,android,"Philadelphia, Pennsylvania",0
1706856572,ios,"New York, New York",0
1706856605,ios,"Los Angeles, California",0
1706856795,ios,"New York, New York",0
1706857053,android,"New York, New York",0
1706857179,android,"Dallas-Fort Worth, Texas",0
1706857408,ios,"New York, New York",0
1706857410,android,"Los Angeles, California",0
1706857896,android,"Washington, D.C. (Hagerstown)",0
1706858291,android,"Los Angeles, California",0
1706858409,android,"New York, New York",0
1706858859,ios,"San Francisco-Oakland-San Jose, California",0
1706858866,android,"Chicago, Illinois",0
1706859008,ios,"Philadelphia, Pennsylvania",0
1706859052,ios,"New York, New York",0
1706859288,ios,"Washington, D.C. (Hagerstown)",0
1706859748,ios,"Chicago, Illinois",0
1706859764,android,"New York, New York",0
1706860141,android,"New York, New York",0
1706860192,android,"Atlanta, Georgia",0
1706860247,android,"Chicago, Illinois",0
1706860288,android,"Dallas-Fort Worth, Texas",0
1706860289,ios,"New York, New York",0
1706860302,ios,"New York, New York",0
1706860346,ios,"New York, New York",0
1706860409,android,"Washington, D.C. (Hagerstown)",0
1706860621,ios,"Los Angeles, California",0
1706860761,ios,"Chicago, Illinois",0
1706860841,android,"Los Angeles, California",0
1706860907,ios,"New York, New York",0
1706860949,ios,"New York, New York",0
1706860998,android,"Boston (Manchester), Massachusetts",0
1706861040,ios,"Houston, Texas",0
1706861173,android,"New York, New York",0
1706861279,android,"New York, New York",0
1706861877,android,"Boston (Manchester), Massachusetts",0
1706861921,android,"New York, New York",0
1706862066,android,"Los Angeles, California",0
1706862272,ios,"New York, New York",0
1706862643,android,"Dallas-Fort Worth, Texas",0
1706862875,ios,"Chicago, Illinois",0
1706862954,android,"New York, New York",0
1706863105,android,"New York, New York",0
1706863146,ios,"Philadelphia, Pennsylvania",0
1706863274,ios,"Los Angeles, California",0
1706863552,ios,"Washington, D.C. (Hagerstown)",0
1706863616,android,"Philadelphia, Pennsylvania",0
1706863687,android,"Dallas-Fort Worth, Texas",0
1706864352,android,"Washington, D.C. (Hagerstown)",0
1706864833,android,"New York, New York",0
1706864880,android,"New York, New York",0
1706864980,ios,"New York, New York",0
1706865182,ios,"Dallas-Fort Worth, Texas",0
1706865325,ios,"New York, New York",0
1706865371,ios,"Philadelphia, Pennsylvania",0
1706865374,ios,"San Francisco-Oakland-San Jose, California",0
1706865509,ios,"Philadelphia, Pennsylvania",0
1706865540,ios,"New York, New York",0
1706865721,ios,"New York, New York",0
1706865995,ios,"Dallas-Fort Worth, Texas",0
1706866226,ios,"Chicago, Illinois",0
1706866357,ios,"Dallas-Fort Worth, Texas",0
1706866855,android,"Chicago, Illinois",0
1706866944,ios,"Chicago, Illinois",0
1706866992,android,"Boston (Manchester), Massachusetts",0
1706867104,android,"Los Angeles, California",0
1706867238,ios,"Boston (Manchester), Massachusetts",0
1706867842,android,"New York, New York",0
1706868163,ios,"Dallas-Fort Worth, Texas",0
1706868168,ios,"Houston, Texas",0
1706868470,ios,"Los Angeles, California",0
1706868610,ios,"Atlanta, Georgia",0
1706868621,android,"New York, New York",0
1706868634,ios,"New York, New York",0
1706868673,android,"Chicago, Illinois",0
1706868949,android,"New York, New York",0
1706869076,android,"New York, New York",0
1706870081,ios,"San Francisco-Oakland-San Jose, California",0
1706870318,ios,"New York, New York",0
1706870401,ios,"New York, New York",0
1706870936,ios,"Washington, D.C. (Hagerstown)",0
1706871009,ios,"Philadelphia, Pennsylvania",0
1706871046,android,"Boston (Manchester), Massachusetts",0
1706871233,android,"San Francisco-Oakland-San Jose, California",0
1706871662,ios,"Philadelphia, Pennsylvania",0
1706872272,ios,"New York, New York",0
1706872537,android,"New York, New York",0
1706872788,ios,"Washington, D.C. (Hagerstown)",0
1706872944,ios,"Boston (Manchester), Massachusetts",0
1706873038,android,"Washington, D.C. (Hagerstown)",0
1706873067,ios,"Philadelphia, Pennsylvania",0
1706873089,android,"New York, New York",0
1706873196,android,"New York, New York",0
1706873561,ios,"New York, New York",0
1706873577,android,"Houston, Texas",0
1706873754,android,"Washington, D.C. (Hagerstown)",0
1706873893,ios,"New York, New York",0
1706874129,ios,"Philadelphia, Pennsylvania",0
1706874160,android,"Dallas-Fort Worth, Texas",0
1706874286,android,"Philadelphia, Pennsylvania",0
1706874404,android,"New York, New York",0
1706874536,ios,"New York, New York",0
1706874993,ios,"New York, New York",0
1706875148,android,"New York, New York",0
1706875392,android,"New York, New York",0
1706876006,android,"New York, New York",0
1706876062,android,"Philadelphia, Pennsylvania",0
1706876306,ios,"Los Angeles, California",0
1706876567,ios,"New York, New York",0
1706876835,ios,"Chicago, Illinois",0
1706877002,android,"New York, New York",0
1706877219,ios,"New York, New York",0
1706877221,android,"New York, New York",0
1706877307,android,"New York, New York",0
1706877516,ios,"Los Angeles, California",0
1706877897,android,"Los Angeles, California",0
1706878035,android,"New York, New York",0
1706878070,android,"Houston, Texas",0
1706878112,ios,"Philadelphia, Pennsylvania",0
1706878161,android,"New York, New York",0
1706878283,ios,"New York, New York",0
1706878343,android,"Dallas-Fort Worth, Texas",0
1706878446,ios,"Boston (Manchester), Massachusetts",0
1706878451,ios,"New York, New York",0
1706878530,ios,"San Francisco-Oakland-San Jose, California",0
1706878572,android,"Los Angeles, California",0
1706878582,ios,"Los Angeles, California",0
1706878660,ios,"New York, New York",0
1706878830,ios,"Chicago, Illinois",0
1706878868,ios,"New York, New York",0
1706878989,ios,"Washington, D.C. (Hagerstown)",0
1706879262,android,"San Francisco-Oakland-San Jose, California",0
1706879275,android,"Houston, Texas",0
1706879277,ios,"New York, New York",0
1706879338,ios,"New York, New York",0
1706879707,android,"New York, New York",0
1706879708,ios,"New York, New York",0
1706880016,android,"Los Angeles, California",0
1706880041,ios,"New York, New York",0
1706880722,android,"Washington, D.C. (Hagerstown)",0
1706880754,android,"Atlanta, Georgia",0
1706881124,ios,"Boston (Manchester), Massachusetts",0
1706881289,android,"New York, New York",0
1706881627,ios,"New York, New York",0
1706882077,android,"New York, New York",0
1706882106,android,"Philadelphia, Pennsylvania",0
1706882490,ios,"New York, New York",0
1706882897,ios,"Los Angeles, California",0
1706883323,android,"Dallas-Fort Worth, Texas",0
1706883443,android,"Atlanta, Georgia",0
1706883465,ios,"Los Angeles, California",0
1706883596,android,"Los Angeles, California",0
1706883698,ios,"Chicago, Illinois",0
1706883816,ios,"New York, New York",0
1706883821,ios,"New York, New York",0
1706884261,android,"New York, New York",0
1706884298,android,"Washington, D.C. (Hagerstown)",0
1706884442,android,"New York, New York",0
1706884957,android,"Dallas-Fort Worth, Texas",0
1706885045,ios,"Philadelphia, Pennsylvania",0
1706885105,ios,"Los Angeles, California",0
1706885173,android,"Philadelphia, Pennsylvania",0
1706885310,android,"Chicago, Illinois",0
1706885316,android,"New York, New York",0
1706885376,ios,"New York, New York",0
1706885561,ios,"Philadelphia, Pennsylvania",0
1706885841,ios,"New York, New York",0
1706886214,ios,"Los Angeles, California",0
1706886352,ios,"Houston, Texas",0
1706886459,ios,"New York, New York",0
1706886662,android,"Houston, Texas",0
1706886714,android,"Los Angeles, California",0
1706886804,ios,"Boston (Manchester), Massachusetts",0
1706886806,android,"New York, New York",0
1706886847,ios,"Houston, Texas",0
1706887149,ios,"Houston, Texas",0
1706887429,android,"New York, New York",0
1706887471,android,"New York, New York",0
1706887861,ios,"New York, New York",0
1706887932,ios,"New York, New York",0
1706887979,android,"New York, New York",0
1706888953,ios,"New York, New York",0
1706889204,android,"Washington, D.C. (Hagerstown)",0
1706890285,android,"Philadelphia, Pennsylvania",0
1706890733,android,"Los Angeles, California",0
1706891170,ios,"Los Angeles, California",0
1706891178,ios,"New York, New York",0
1706891684,ios,"Philadelphia, Pennsylvania",0
1706892390,ios,"Los Angeles, California",0
1706892395,android,"Chicago, Illinois",0
1706892415,android,"Houston, Texas",0
1706892888,ios,"Chicago, Illinois",0
1706892901,ios,"New York, New York",0
1706893450,ios,"Washington, D.C. (Hagerstown)",0
1706893588,ios,"New York, New York",0
1706893822,ios,"Philadelphia, Pennsylvania",0
1706894138,android,"Dallas-Fort Worth, Texas",0
1706894341,android,"New York, New York",0
1706894607,ios,"San Francisco-Oakland-San Jose, California",0
1706894663,ios,"New York, New York",0
1706894796,android,"Los Angeles, California",0
1706894822,ios,"New York, New York",0
1706895151,android,"New York, New York",0
1706895351,android,"New York, New York",0
1706895472,android,"New York, New York",0
1706895568,android,"Washington, D.C. (Hagerstown)",0
1706895606,android,"Chicago, Illinois",0
1706895843,android,"Los Angeles, California",0
1706896055,ios,"Dallas-Fort Worth, Texas",0
1706896056,ios,"New York, New York",0
1706896162,ios,"New York, New York",0
1706896345,ios,"Chicago, Illinois",0
1706896364,android,"Washington, D.C. (Hagerstown)",0
1706896901,android,"Los Angeles, California",0
